Repository,Component Type,Ecosystem,Name,Version,Dependency Scope,Relationship,License,PURL or Reference,Metadata Source,Notes
Regensburg_DigitalerEnergieZwilling_digital-energy-twin_addon,application,first-party,Regensburg_DigitalerEnergieZwilling_digital-energy-twin_addon,1.7.0,required,root component,LGPL-3.0-or-later,pkg:generic/Regensburg_DigitalerEnergieZwilling_digital-energy-twin_addon@1.7.0,Regensburg_DigitalerEnergieZwilling_digital-energy-twin_addon/sbom.config.json,First-party repository component.
Regensburg_DigitalerEnergieZwilling_digital-energy-twin_addon,container,OCI container,ghcr.io/csi-foxbyte/regensburg_digitalerenergiezwilling_adminfrontend,0.10.0-dev.0,required,deployed application container,LGPL-3.0-or-later,oci:ghcr.io/csi-foxbyte/regensburg_digitalerenergiezwilling_adminfrontend:0.10.0-dev.0,Regensburg_DigitalerEnergieZwilling_digital-energy-twin_addon/vars/software_references.yml,"Admin frontend image deployed by the addon; its verified, digest-bound SBOM is maintained as a modular child BOM."
Regensburg_DigitalerEnergieZwilling_digital-energy-twin_addon,container,OCI container,ghcr.io/csi-foxbyte/regensburg_digitalerenergiezwilling_backend,0.7.3-dev.1,required,deployed application container,LGPL-3.0-or-later,oci:ghcr.io/csi-foxbyte/regensburg_digitalerenergiezwilling_backend:0.7.3-dev.1,Regensburg_DigitalerEnergieZwilling_digital-energy-twin_addon/vars/software_references.yml,"Backend image used for database migration and application runtime; its verified, digest-bound SBOM is maintained as a modular child BOM."
Regensburg_DigitalerEnergieZwilling_digital-energy-twin_addon,container,OCI container,ghcr.io/csi-foxbyte/regensburg_digitalerenergiezwilling_frontend,0.17.1-dev.0,required,deployed application container,LGPL-3.0-or-later,oci:ghcr.io/csi-foxbyte/regensburg_digitalerenergiezwilling_frontend:0.17.1-dev.0,Regensburg_DigitalerEnergieZwilling_digital-energy-twin_addon/vars/software_references.yml,"Public frontend image deployed by the addon; its verified, digest-bound SBOM is maintained as a modular child BOM."
Regensburg_DigitalerEnergieZwilling_digital-energy-twin_addon,application,PyPI,ansible-core,not pinned,required,required deployment execution dependency,GPL-3.0-or-later,pkg:pypi/ansible-core@not-pinned,Regensburg_DigitalerEnergieZwilling_digital-energy-twin_addon/tasks.yml and tasks/digital-energy-twin.yml,Executes the addon playbook; the version is supplied by the Civitas Core control environment.
Regensburg_DigitalerEnergieZwilling_digital-energy-twin_addon,application,gateway service,Apache APISIX,not pinned,required,required application gateway and policy integration,Apache-2.0,component:apache-apisix@not-pinned,Regensburg_DigitalerEnergieZwilling_digital-energy-twin_addon/tasks/digital-energy-twin.yml,"Routes frontend and backend traffic and enforces OIDC, role, CORS, rate-limit, and response-header policies; the version is supplied by Civitas Core."
Regensburg_DigitalerEnergieZwilling_digital-energy-twin_addon,application,Kubernetes controller,cert-manager,not pinned,required,required TLS certificate integration,Apache-2.0,component:cert-manager@not-pinned,Regensburg_DigitalerEnergieZwilling_digital-energy-twin_addon/tasks/digital-energy-twin.yml,Issues certificates for the three annotated Gateways through the configured cluster issuer. Gateway API support must be enabled; the version is supplied by the platform.
Regensburg_DigitalerEnergieZwilling_digital-energy-twin_addon,application,deployment platform,Civitas Core,not pinned,required,required addon host platform,NOASSERTION,component:civitas-core@not-pinned,Regensburg_DigitalerEnergieZwilling_digital-energy-twin_addon/.copier-answers.yml and tasks.yml,"The addon consumes Civitas Core inventory, shared access tasks, and platform services; the host version is selected by the deployment."
Regensburg_DigitalerEnergieZwilling_digital-energy-twin_addon,library,PyPI,jmespath,not pinned,required,required deployment execution dependency,MIT,pkg:pypi/jmespath@not-pinned,Regensburg_DigitalerEnergieZwilling_digital-energy-twin_addon/tasks/digital-energy-twin.yml,Required by the Ansible json_query filter used to select Keycloak clients; the version is supplied by the control environment.
Regensburg_DigitalerEnergieZwilling_digital-energy-twin_addon,application,identity service,Keycloak,not pinned,required,required identity and access management integration,Apache-2.0,component:keycloak@not-pinned,Regensburg_DigitalerEnergieZwilling_digital-energy-twin_addon/tasks/digital-energy-twin.yml,"Provides the OIDC client, roles, client secret, discovery metadata, and token introspection used by the application; the version is supplied by Civitas Core."
Regensburg_DigitalerEnergieZwilling_digital-energy-twin_addon,operating-system,cluster platform,Kubernetes,not pinned,required,required application runtime platform,Apache-2.0,component:kubernetes@not-pinned,Regensburg_DigitalerEnergieZwilling_digital-energy-twin_addon/tasks/digital-energy-twin.yml and templates/,"Runs the Deployments, Services, Secrets, ConfigMaps, Gateways, and HTTPRoutes created by the addon; the cluster version is deployment-specific."
